avg_monthly_hours,department,last_evaluation,left,number_project,promotion_last_5years,salary,satisfaction_level,time_spend_company,work_accident
148,support,0.54,sim,2,nao,low,0.4,3,nao
147,support,0.47000000000000003,sim,2,nao,low,0.43,3,nao
152,support,0.78,sim,6,nao,low,0.13,2,nao
135,support,0.55,sim,2,nao,low,0.44,3,nao
134,support,0.55,sim,2,nao,low,0.38,3,nao
132,support,0.54,sim,2,nao,low,0.39,3,nao
307,support,0.92,sim,7,nao,low,0.1,4,nao
140,support,0.46,sim,2,nao,low,0.37,3,nao
255,support,0.9400000000000001,sim,7,nao,low,0.11,4,nao
309,technical,0.81,sim,6,nao,low,0.1,4,nao
128,technical,0.54,sim,2,nao,low,0.38,3,nao
225,technical,1.0,sim,4,nao,low,0.85,5,nao
226,management,0.91,sim,5,nao,medium,0.85,5,nao
308,IT,0.93,sim,7,nao,medium,0.11,4,nao
244,IT,0.9500000000000001,sim,6,nao,medium,0.1,5,nao
132,IT,0.56,sim,2,nao,medium,0.36,3,nao
286,IT,0.9400000000000001,sim,6,nao,medium,0.11,4,nao
161,IT,0.7000000000000001,sim,6,nao,medium,0.81,4,nao
153,product_mng,0.54,sim,2,nao,medium,0.43,3,nao
264,product_mng,0.98,sim,4,nao,medium,0.9,6,nao
223,product_mng,0.86,sim,5,nao,medium,0.76,5,sim
135,product_mng,0.5,sim,2,nao,medium,0.43,3,nao
277,IT,0.99,sim,2,nao,medium,0.74,3,nao
275,product_mng,0.77,sim,5,nao,medium,0.09,4,nao
149,product_mng,0.49,sim,2,nao,high,0.45,3,nao
295,product_mng,0.87,sim,7,nao,low,0.09,4,nao
277,product_mng,0.97,sim,6,nao,medium,0.11,4,nao
306,product_mng,0.79,sim,7,nao,medium,0.11,4,nao
295,product_mng,0.8300000000000001,sim,6,nao,medium,0.1,4,nao
137,marketing,0.54,sim,2,nao,medium,0.4,3,nao
157,sales,0.56,sim,2,nao,low,0.43,3,nao
142,accounting,0.56,sim,2,nao,low,0.39,3,nao
140,support,0.54,sim,2,nao,low,0.45,3,nao
151,technical,0.49,sim,2,nao,low,0.38,3,nao
139,management,0.59,sim,4,sim,low,0.79,3,nao
249,marketing,0.85,sim,4,nao,low,0.84,6,nao
291,marketing,0.77,sim,6,nao,low,0.11,4,nao
305,marketing,0.87,sim,6,nao,low,0.11,4,nao
232,sales,0.84,sim,5,nao,low,0.17,3,nao
132,sales,0.45,sim,2,nao,low,0.44,3,nao
130,sales,0.5700000000000001,sim,2,nao,low,0.37,3,nao
291,sales,0.79,sim,6,nao,low,0.1,4,nao
130,sales,0.5,sim,2,nao,low,0.4,3,nao
246,sales,1.0,sim,5,nao,low,0.89,5,nao
143,sales,0.48,sim,2,nao,low,0.42,3,nao
129,sales,0.55,sim,2,nao,low,0.46,3,nao
255,sales,0.8300000000000001,sim,6,nao,low,0.09,4,nao
155,sales,0.51,sim,2,nao,low,0.37,3,nao
265,sales,0.77,sim,6,nao,low,0.1,4,nao
279,sales,0.84,sim,6,nao,low,0.1,4,nao
284,sales,0.97,sim,6,nao,low,0.11,4,nao
221,sales,1.0,sim,5,nao,medium,0.9,6,nao
154,sales,0.52,sim,2,nao,medium,0.38,3,nao
147,sales,0.52,sim,2,nao,medium,0.36,3,nao
150,sales,0.46,sim,2,nao,medium,0.42,3,nao
267,sales,0.9400000000000001,sim,7,nao,medium,0.09,4,nao
158,sales,0.52,sim,2,nao,medium,0.43,3,nao
224,accounting,0.46,sim,7,nao,medium,0.24,5,nao
257,accounting,1.0,sim,4,nao,medium,0.91,5,nao
148,accounting,0.5,sim,2,nao,medium,0.44,3,nao
177,hr,0.87,sim,3,nao,medium,0.71,4,nao
155,hr,0.49,sim,2,nao,medium,0.4,3,nao
144,hr,0.47000000000000003,sim,2,nao,medium,0.43,3,nao
289,hr,0.85,sim,6,nao,high,0.09,4,nao
160,technical,0.52,sim,2,nao,low,0.43,3,nao
258,technical,0.96,sim,4,nao,medium,0.9,5,nao
234,technical,1.0,sim,5,nao,medium,0.84,5,nao
137,technical,0.48,sim,2,nao,medium,0.37,3,nao
263,technical,0.68,sim,5,nao,medium,0.86,2,nao
251,technical,0.84,sim,6,nao,low,0.11,4,nao
133,technical,0.5700000000000001,sim,2,nao,low,0.37,3,nao
132,technical,0.46,sim,2,nao,low,0.4,3,nao
158,technical,0.62,sim,4,nao,low,0.14,4,sim
135,technical,0.46,sim,2,nao,low,0.4,3,nao
216,technical,1.0,sim,4,nao,low,0.75,6,nao
300,support,0.84,sim,6,nao,low,0.11,5,sim
138,support,0.49,sim,2,nao,low,0.46,3,nao
260,support,0.92,sim,6,nao,low,0.11,4,nao
132,support,0.49,sim,2,nao,low,0.38,3,nao
183,support,0.89,sim,3,nao,low,0.7000000000000001,5,nao
250,support,0.8200000000000001,sim,6,nao,low,0.09,4,nao
151,support,0.45,sim,2,nao,low,0.37,3,nao
292,support,0.8300000000000001,sim,6,nao,low,0.1,4,nao
140,support,0.5700000000000001,sim,2,nao,low,0.38,3,nao
221,support,1.0,sim,5,nao,low,0.9,5,nao
138,support,0.51,sim,2,nao,low,0.44,3,nao
132,technical,0.5,sim,2,nao,low,0.36,3,nao
133,technical,0.84,sim,7,nao,low,0.31,5,nao
283,technical,0.84,sim,6,nao,low,0.1,4,sim
129,management,0.48,sim,2,nao,low,0.42,3,nao
249,IT,1.0,sim,4,nao,low,0.74,5,nao
257,IT,0.87,sim,5,nao,low,0.73,5,nao
245,IT,0.96,sim,6,nao,low,0.09,4,nao
155,IT,0.53,sim,2,nao,low,0.45,3,nao
256,IT,0.8,sim,6,nao,low,0.11,4,nao
152,product_mng,0.47000000000000003,sim,2,nao,low,0.37,3,nao
267,product_mng,0.99,sim,4,nao,low,0.84,5,nao
151,product_mng,0.46,sim,2,nao,low,0.41000000000000003,3,nao
239,product_mng,0.92,sim,4,nao,low,0.76,5,nao
306,IT,0.87,sim,6,nao,low,0.11,4,nao
263,marketing,0.88,sim,4,nao,low,0.84,5,sim
147,marketing,0.5,sim,2,nao,low,0.39,3,nao
278,marketing,0.91,sim,6,nao,low,0.11,4,nao
154,marketing,0.56,sim,2,nao,low,0.45,3,nao
143,marketing,0.52,sim,2,nao,low,0.37,3,nao
155,marketing,0.52,sim,2,nao,low,0.4,3,nao
160,sales,0.48,sim,2,nao,low,0.39,3,nao
304,accounting,0.8,sim,6,nao,low,0.11,4,nao
240,support,1.0,sim,5,nao,low,0.8300000000000001,5,nao
305,technical,0.92,sim,6,nao,low,0.11,4,nao
136,management,0.5,sim,2,nao,low,0.39,3,nao
132,marketing,0.45,sim,2,nao,low,0.45,3,nao
301,marketing,0.9500000000000001,sim,7,nao,low,0.1,4,nao
243,marketing,0.98,sim,5,nao,low,0.9,6,nao
147,sales,0.51,sim,2,nao,low,0.45,3,nao
239,sales,0.89,sim,5,nao,low,0.79,5,nao
260,sales,0.99,sim,5,nao,low,0.9,5,nao
296,sales,0.84,sim,7,nao,low,0.11,4,nao
129,sales,0.55,sim,2,nao,low,0.43,3,nao
132,sales,0.54,sim,5,nao,low,0.31,5,nao
135,sales,0.5,sim,2,nao,low,0.32,5,nao
158,sales,0.5700000000000001,sim,2,nao,low,0.45,3,nao
259,sales,0.99,sim,4,nao,low,0.81,5,nao
160,sales,0.46,sim,2,sim,low,0.41000000000000003,3,nao
278,sales,0.78,sim,7,nao,low,0.11,4,nao
284,sales,0.88,sim,6,nao,low,0.1,4,nao
274,sales,0.53,sim,2,nao,low,0.7000000000000001,4,nao
164,sales,0.74,sim,4,nao,low,0.54,2,nao
148,sales,0.48,sim,2,nao,low,0.41000000000000003,3,nao
140,sales,0.5,sim,2,nao,medium,0.38,3,nao
127,sales,0.51,sim,2,nao,medium,0.37,3,nao
308,sales,0.85,sim,6,nao,medium,0.11,5,nao
146,sales,0.47000000000000003,sim,2,nao,medium,0.4,3,nao
261,accounting,0.84,sim,6,nao,medium,0.1,4,nao
257,accounting,0.99,sim,5,nao,medium,0.89,5,nao
285,accounting,0.8,sim,6,nao,medium,0.11,4,nao
141,hr,0.55,sim,2,nao,medium,0.36,3,nao
127,hr,0.46,sim,2,nao,medium,0.4,3,nao
297,hr,0.85,sim,6,nao,medium,0.09,4,nao
143,hr,0.46,sim,2,nao,medium,0.4,3,nao
152,technical,0.55,sim,2,nao,medium,0.37,3,nao
156,technical,0.51,sim,2,nao,high,0.44,3,nao
283,technical,0.8,sim,7,nao,low,0.09,5,nao
226,technical,0.87,sim,4,nao,medium,0.92,6,sim
232,technical,0.91,sim,4,nao,medium,0.74,5,nao
249,technical,0.8200000000000001,sim,6,nao,medium,0.09,4,nao
275,technical,0.9500000000000001,sim,4,nao,medium,0.89,5,nao
304,technical,0.8,sim,6,nao,low,0.09,4,nao
278,technical,0.54,sim,7,nao,low,0.27,3,nao
287,technical,0.91,sim,6,nao,low,0.1,4,nao
285,technical,0.89,sim,7,nao,low,0.1,4,nao
226,support,0.9400000000000001,sim,5,nao,low,0.77,6,nao
259,support,0.8200000000000001,sim,5,nao,low,0.9,5,nao
135,support,0.5,sim,2,nao,low,0.39,3,nao
219,support,1.0,sim,5,nao,low,0.76,5,nao
256,support,0.93,sim,6,nao,low,0.1,4,nao
254,support,0.9,sim,5,nao,low,0.87,6,nao
153,support,0.5,sim,2,nao,low,0.38,3,nao
228,support,0.99,sim,5,nao,low,0.77,5,nao
228,support,0.87,sim,4,nao,low,0.78,5,nao
128,support,0.5,sim,2,nao,low,0.44,3,nao
153,support,0.52,sim,2,nao,low,0.38,3,nao
156,technical,0.46,sim,2,nao,low,0.43,3,nao
294,technical,0.5,sim,4,nao,low,0.39,3,nao
219,technical,1.0,sim,5,nao,low,0.88,5,nao
153,management,0.46,sim,2,nao,low,0.45,3,nao
151,IT,0.53,sim,2,nao,low,0.4,3,nao
155,IT,0.51,sim,2,nao,low,0.36,3,nao
158,IT,0.48,sim,2,nao,low,0.36,3,nao
245,IT,0.98,sim,5,nao,low,0.9,5,nao
131,IT,0.53,sim,2,nao,low,0.43,3,nao
225,product_mng,0.87,sim,5,nao,low,0.89,5,nao
286,product_mng,0.84,sim,6,nao,low,0.1,4,nao
135,product_mng,0.5,sim,2,nao,low,0.37,3,nao
153,product_mng,0.51,sim,2,nao,low,0.37,3,nao
252,IT,0.9,sim,5,nao,low,0.87,5,nao
149,accounting,0.56,sim,2,nao,low,0.4,3,nao
258,accounting,0.97,sim,4,nao,low,0.9,5,nao
158,hr,0.46,sim,2,nao,low,0.37,3,nao
149,hr,0.54,sim,2,nao,low,0.44,3,nao
236,hr,0.9500000000000001,sim,5,nao,low,0.85,5,nao
239,marketing,0.98,sim,5,nao,low,0.78,6,nao
159,marketing,0.47000000000000003,sim,2,nao,low,0.42,3,nao
255,sales,0.99,sim,5,nao,low,0.92,6,nao
244,accounting,0.8300000000000001,sim,6,nao,low,0.11,4,nao
134,support,0.56,sim,2,nao,low,0.42,3,nao
270,technical,0.5700000000000001,sim,4,nao,low,0.48,4,nao
255,management,0.85,sim,4,nao,low,0.8300000000000001,5,nao
151,marketing,0.53,sim,2,nao,low,0.4,3,nao
135,marketing,0.45,sim,2,nao,low,0.43,3,nao
146,marketing,0.53,sim,2,nao,low,0.43,3,nao
254,sales,0.97,sim,7,nao,low,0.1,4,nao
289,sales,0.87,sim,7,nao,low,0.1,4,nao
156,sales,0.46,sim,2,nao,low,0.37,3,nao
156,sales,0.53,sim,2,nao,low,0.38,3,nao
128,sales,0.5,sim,2,nao,low,0.4,3,nao
275,sales,0.86,sim,5,nao,low,0.89,5,nao
155,sales,0.46,sim,2,nao,low,0.45,3,nao
159,sales,0.48,sim,2,nao,low,0.37,3,nao
148,sales,0.49,sim,2,nao,low,0.46,3,nao
228,sales,0.91,sim,4,nao,low,0.87,5,nao
298,sales,0.84,sim,6,nao,low,0.11,4,nao
261,sales,0.87,sim,5,nao,low,0.79,5,nao
254,sales,0.92,sim,5,nao,low,0.79,6,nao
192,sales,0.59,sim,7,nao,low,0.19,3,nao
248,sales,0.98,sim,4,nao,low,0.87,5,nao
258,sales,0.92,sim,2,nao,low,0.6000000000000001,5,nao
156,sales,0.45,sim,2,nao,medium,0.44,3,nao
266,sales,0.81,sim,6,nao,medium,0.11,4,sim
156,sales,0.54,sim,2,nao,medium,0.42,3,nao
232,accounting,0.88,sim,5,nao,medium,0.88,5,sim
287,accounting,0.84,sim,6,nao,medium,0.11,4,nao
154,accounting,0.46,sim,2,nao,medium,0.46,3,nao
263,hr,0.97,sim,5,nao,medium,0.8200000000000001,5,nao
131,hr,0.56,sim,2,nao,medium,0.44,3,nao
260,hr,0.78,sim,6,nao,medium,0.11,4,nao
139,hr,0.5,sim,2,nao,medium,0.42,3,nao
251,technical,0.93,sim,4,nao,medium,0.84,5,nao
286,technical,0.9500000000000001,sim,6,nao,medium,0.11,4,nao
129,technical,0.53,sim,2,nao,high,0.45,3,nao
156,technical,0.56,sim,2,nao,low,0.38,3,nao
139,technical,0.86,sim,6,nao,medium,0.38,6,nao
127,technical,0.51,sim,2,nao,medium,0.44,3,nao
251,technical,0.84,sim,6,nao,medium,0.11,4,nao
270,technical,0.93,sim,5,nao,medium,0.81,5,nao
296,technical,0.96,sim,6,nao,low,0.09,4,nao
254,technical,0.9,sim,6,nao,low,0.11,4,nao
238,technical,0.9500000000000001,sim,5,nao,low,0.81,6,nao
267,support,0.97,sim,6,nao,low,0.1,4,sim
229,support,0.89,sim,5,nao,low,0.74,6,nao
254,support,0.78,sim,6,nao,low,0.09,4,nao
233,support,0.81,sim,4,nao,low,0.8200000000000001,4,sim
268,support,0.98,sim,6,nao,low,0.1,4,nao
301,support,0.56,sim,3,nao,low,0.27,3,nao
267,support,0.92,sim,5,nao,low,0.8300000000000001,6,nao
289,support,0.93,sim,6,nao,low,0.1,4,sim
144,support,0.47000000000000003,sim,2,nao,low,0.38,3,nao
148,support,0.56,sim,2,nao,low,0.4,3,nao
306,support,0.8300000000000001,sim,6,nao,low,0.11,4,nao
292,technical,0.79,sim,6,sim,low,0.11,4,nao
232,technical,0.91,sim,5,nao,low,0.8200000000000001,5,nao
137,technical,0.48,sim,2,nao,low,0.36,3,nao
128,management,0.46,sim,2,nao,low,0.4,3,nao
231,IT,0.84,sim,5,nao,low,0.87,5,nao
146,IT,0.49,sim,2,nao,low,0.41000000000000003,3,nao
308,IT,0.91,sim,6,nao,low,0.11,4,sim
253,IT,0.93,sim,6,nao,medium,0.1,4,nao
146,IT,0.51,sim,2,nao,medium,0.38,3,nao
156,product_mng,0.55,sim,2,nao,medium,0.39,3,nao
147,product_mng,0.52,sim,2,nao,medium,0.4,3,nao
136,product_mng,0.48,sim,2,nao,medium,0.45,3,nao
249,product_mng,0.84,sim,5,nao,medium,0.74,5,nao
151,IT,0.55,sim,2,nao,medium,0.45,3,nao
278,RandD,1.0,sim,3,nao,medium,0.12,4,nao
250,RandD,0.77,sim,7,nao,medium,0.1,5,nao
127,RandD,0.55,sim,2,nao,medium,0.37,3,nao
255,RandD,0.87,sim,5,nao,medium,0.89,5,nao
135,RandD,0.47000000000000003,sim,2,nao,medium,0.45,3,nao
149,marketing,0.46,sim,2,nao,high,0.37,3,nao
287,sales,0.81,sim,5,nao,low,0.11,4,nao
145,accounting,0.48,sim,2,nao,medium,0.41000000000000003,3,nao
285,support,0.9400000000000001,sim,6,nao,medium,0.1,4,nao
305,technical,0.93,sim,7,nao,medium,0.1,4,nao
300,management,0.9500000000000001,sim,7,nao,medium,0.11,4,nao
139,marketing,0.54,sim,2,nao,low,0.4,3,nao
130,marketing,0.49,sim,2,nao,low,0.41000000000000003,3,nao
268,marketing,0.81,sim,6,nao,low,0.1,4,nao
245,sales,0.86,sim,4,nao,low,0.73,6,nao
135,sales,0.47000000000000003,sim,2,nao,low,0.43,3,nao
153,sales,0.46,sim,2,nao,low,0.37,3,nao
276,sales,0.9400000000000001,sim,6,nao,low,0.11,4,nao
130,sales,0.46,sim,2,nao,low,0.4,3,nao
153,sales,0.54,sim,2,nao,low,0.41000000000000003,3,sim
244,sales,0.84,sim,5,nao,low,0.8200000000000001,5,nao
253,sales,0.47000000000000003,sim,2,nao,low,0.61,3,nao
287,sales,0.91,sim,7,nao,low,0.11,4,nao
131,sales,0.45,sim,2,nao,low,0.37,3,nao
135,sales,0.52,sim,2,nao,low,0.41000000000000003,3,nao
157,sales,0.52,sim,2,nao,low,0.37,3,nao
262,sales,0.99,sim,5,nao,low,0.88,6,nao
266,sales,0.85,sim,6,nao,low,0.1,4,nao
148,sales,0.48,sim,2,nao,low,0.44,3,nao
140,sales,0.5700000000000001,sim,2,nao,low,0.38,3,nao
302,sales,0.85,sim,7,nao,low,0.11,4,nao
271,sales,0.98,sim,6,nao,low,0.09,4,nao
145,sales,0.52,sim,2,nao,medium,0.45,3,nao
290,accounting,0.81,sim,6,nao,medium,0.1,4,nao
151,accounting,0.47000000000000003,sim,2,nao,medium,0.45,3,nao
266,accounting,0.87,sim,5,nao,medium,0.77,5,nao
140,hr,0.51,sim,2,nao,medium,0.44,3,nao
142,hr,0.5,sim,2,nao,medium,0.39,3,nao
246,hr,0.91,sim,6,nao,medium,0.1,4,nao
308,hr,0.89,sim,7,nao,medium,0.09,5,nao
141,technical,0.47000000000000003,sim,2,nao,medium,0.37,3,nao
232,technical,1.0,sim,5,nao,medium,0.9,5,nao
143,technical,0.56,sim,2,nao,medium,0.41000000000000003,3,nao
155,technical,0.52,sim,2,nao,medium,0.37,3,nao
278,technical,0.86,sim,6,nao,high,0.1,4,nao
253,technical,1.0,sim,4,nao,low,0.81,5,nao
282,technical,0.8,sim,6,nao,medium,0.11,4,nao
264,technical,0.84,sim,7,nao,medium,0.11,4,nao
149,technical,0.46,sim,2,nao,medium,0.4,3,nao
304,technical,0.8,sim,6,nao,medium,0.09,5,nao
219,technical,0.93,sim,3,nao,low,0.48,6,nao
262,support,0.91,sim,4,nao,low,0.91,6,nao
135,support,0.5700000000000001,sim,2,nao,low,0.43,3,nao
219,support,0.88,sim,6,nao,low,0.33,5,nao
136,support,0.5700000000000001,sim,2,nao,low,0.41000000000000003,3,nao
154,support,0.55,sim,2,nao,low,0.41000000000000003,3,nao
149,support,0.54,sim,2,nao,low,0.37,3,nao
135,support,0.62,sim,6,nao,low,0.31,5,nao
275,support,0.91,sim,6,nao,low,0.09,4,nao
290,support,0.87,sim,6,nao,low,0.1,4,nao
263,support,0.9,sim,4,nao,low,0.76,5,nao
145,support,0.54,sim,2,nao,low,0.41000000000000003,3,nao
267,technical,0.96,sim,5,nao,low,0.72,5,nao
141,technical,0.5,sim,2,nao,low,0.4,3,sim
235,technical,0.87,sim,4,nao,low,0.91,5,nao
258,management,0.8300000000000001,sim,6,nao,low,0.1,4,nao
131,IT,0.56,sim,2,nao,low,0.4,3,nao
243,IT,0.86,sim,5,nao,low,0.8200000000000001,5,nao
266,IT,0.8200000000000001,sim,6,nao,low,0.1,4,nao
142,IT,0.45,sim,2,nao,low,0.37,3,nao
135,IT,0.51,sim,2,nao,low,0.36,3,nao
141,product_mng,0.48,sim,2,nao,medium,0.39,3,nao
142,product_mng,0.5700000000000001,sim,2,nao,medium,0.36,3,nao
254,product_mng,0.84,sim,5,nao,medium,0.86,5,nao
262,product_mng,0.99,sim,5,nao,medium,0.73,5,nao
296,IT,0.71,sim,4,nao,medium,0.56,2,nao
158,accounting,0.56,sim,2,nao,medium,0.44,3,nao
238,accounting,0.56,sim,4,nao,medium,0.31,2,nao
231,hr,0.93,sim,4,nao,medium,0.77,5,nao
156,hr,0.45,sim,2,nao,medium,0.44,3,nao
145,hr,0.46,sim,2,nao,medium,0.38,3,nao
144,marketing,0.48,sim,2,nao,medium,0.45,3,nao
159,sales,0.51,sim,2,nao,medium,0.38,3,nao
156,accounting,0.48,sim,2,nao,high,0.36,3,nao
256,support,0.9,sim,5,nao,low,0.75,5,nao
298,technical,0.93,sim,6,nao,medium,0.1,4,nao
247,management,0.97,sim,6,nao,medium,0.1,4,nao
157,marketing,0.5,sim,2,nao,medium,0.45,3,nao
154,marketing,0.5700000000000001,sim,2,nao,medium,0.42,3,sim
253,marketing,1.0,sim,4,nao,low,0.78,5,nao
148,sales,0.55,sim,2,nao,low,0.45,3,nao
261,sales,1.0,sim,4,nao,low,0.84,5,nao
282,sales,0.93,sim,6,nao,low,0.11,4,nao
133,sales,0.56,sim,2,nao,low,0.42,3,nao
128,sales,0.46,sim,2,nao,low,0.45,3,nao
139,sales,0.5700000000000001,sim,2,nao,low,0.46,3,nao
293,sales,0.79,sim,6,nao,low,0.09,5,nao
265,sales,0.8300000000000001,sim,4,nao,low,0.87,6,nao
250,sales,0.87,sim,6,nao,low,0.1,4,nao
251,sales,1.0,sim,5,nao,low,0.91,6,nao
246,sales,0.92,sim,4,nao,low,0.76,5,nao
275,sales,1.0,sim,5,nao,low,0.74,5,nao
240,sales,0.93,sim,5,nao,low,0.92,5,nao
245,sales,0.87,sim,5,nao,low,0.76,5,nao
254,sales,0.5,sim,4,nao,low,0.47000000000000003,4,nao
241,sales,0.99,sim,5,nao,low,0.73,5,nao
257,sales,0.9400000000000001,sim,6,nao,low,0.09,4,nao
246,sales,0.92,sim,4,nao,low,0.91,5,nao
233,sales,0.98,sim,4,nao,low,0.8200000000000001,5,nao
218,accounting,0.45,sim,6,nao,low,0.28,4,nao
262,accounting,0.99,sim,4,nao,medium,0.84,6,nao
138,accounting,0.53,sim,2,nao,medium,0.45,3,nao
142,hr,0.54,sim,2,nao,medium,0.45,3,nao
233,hr,0.97,sim,5,nao,medium,0.91,5,nao
155,hr,0.48,sim,2,nao,medium,0.42,3,nao
229,hr,1.0,sim,4,nao,medium,0.8200000000000001,6,nao
264,technical,0.9,sim,6,nao,medium,0.11,4,nao
199,technical,0.53,sim,3,nao,medium,0.42,4,nao
223,technical,0.85,sim,4,nao,medium,0.8200000000000001,5,nao
268,technical,0.96,sim,6,nao,medium,0.09,4,nao
287,technical,0.9400000000000001,sim,6,nao,medium,0.1,4,nao
257,technical,1.0,sim,5,nao,medium,0.86,5,nao
143,technical,0.46,sim,2,nao,high,0.4,3,nao
130,technical,0.46,sim,2,nao,low,0.45,3,nao
136,technical,0.51,sim,2,nao,medium,0.42,3,nao
261,technical,0.92,sim,4,nao,medium,0.74,5,nao
180,technical,0.6000000000000001,sim,3,nao,medium,0.55,4,nao
126,support,0.45,sim,2,nao,medium,0.37,3,nao
127,support,0.52,sim,2,nao,low,0.41000000000000003,3,sim
195,support,0.65,sim,5,nao,low,0.89,6,nao
160,support,0.5700000000000001,sim,2,nao,low,0.41000000000000003,3,nao
150,support,0.51,sim,2,nao,low,0.44,3,nao
264,support,0.84,sim,4,nao,low,0.87,6,nao
309,support,0.84,sim,6,nao,low,0.1,4,nao
135,support,0.47000000000000003,sim,2,nao,low,0.41000000000000003,3,nao
261,support,0.85,sim,6,nao,low,0.11,4,nao
160,support,0.53,sim,2,nao,low,0.43,3,nao
237,support,0.9,sim,4,nao,low,0.77,5,nao
136,technical,0.52,sim,2,nao,low,0.41000000000000003,3,nao
139,technical,0.48,sim,2,nao,low,0.41000000000000003,3,nao
151,technical,0.78,sim,2,nao,low,0.36,4,nao
229,management,1.0,sim,5,nao,low,0.77,5,nao
245,IT,0.98,sim,5,nao,low,0.81,5,nao
127,IT,0.54,sim,2,nao,low,0.39,3,nao
283,IT,0.9400000000000001,sim,6,nao,low,0.09,5,nao
143,IT,0.46,sim,2,nao,low,0.44,3,nao
298,IT,0.84,sim,5,nao,low,0.1,4,nao
159,product_mng,0.48,sim,2,nao,low,0.36,3,nao
239,product_mng,0.92,sim,5,nao,low,0.81,5,nao
226,product_mng,0.9,sim,4,nao,medium,0.81,5,nao
248,product_mng,0.98,sim,5,nao,medium,0.85,5,nao
286,IT,0.87,sim,6,nao,medium,0.1,4,nao
145,RandD,0.54,sim,2,nao,medium,0.37,3,nao
254,RandD,0.97,sim,7,nao,medium,0.09,4,sim
127,RandD,0.53,sim,2,nao,medium,0.44,3,nao
223,RandD,0.93,sim,5,nao,medium,0.86,5,nao
255,RandD,1.0,sim,4,nao,medium,0.77,5,nao
136,marketing,0.48,sim,2,nao,medium,0.41000000000000003,3,nao
137,sales,0.48,sim,2,nao,medium,0.4,3,nao
135,accounting,0.49,sim,2,nao,medium,0.43,3,nao
137,support,0.5,sim,2,nao,medium,0.43,3,nao
255,technical,0.53,sim,3,nao,high,0.8,5,nao
273,management,0.85,sim,4,nao,low,0.8,5,nao
234,marketing,0.98,sim,5,nao,medium,0.8200000000000001,5,nao
152,marketing,0.54,sim,2,nao,medium,0.37,3,nao
134,marketing,0.48,sim,2,nao,medium,0.37,3,nao
292,sales,0.9500000000000001,sim,6,nao,medium,0.09,4,nao
245,sales,0.92,sim,5,nao,low,0.9,5,nao
159,sales,0.52,sim,2,nao,low,0.41000000000000003,3,nao
